"Date","Time","group","Latitude","Longitude","location notes","zonal point","Intertidal zone","TapePoint","quarter","Distance from point","Height","Circumference","stems","Bud 1 Live","Bud 1 Dead","Bud 2 Live","Bud 2 Dead","Bud 3 Live","Bud 3 Dead","Leaf","leaf distorted ?","% of leaf missing","number of Mines","number of Galls"
"28/06/2015","12:57:23 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 3","True","","True","","","True","Leaf 2","True","5","0","0"
"28/06/2015","12:57:32 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 3","True","","True","","","True","Leaf 3","True","30","0","0"
"28/06/2015","12:57:49 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 3","True","","True","","","True","Leaf 3","True","30","1","0"
"28/06/2015","12:57:58 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 3","True","","True","","","True","Leaf 4","","10","0","0"
"28/06/2015","12:58:13 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 3","True","","True","","","True","Leaf 6","True","2","0","0"
"28/06/2015","12:58:29 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 4","True","","","","","","Leaf 1","True","20","1","0"
"28/06/2015","12:58:36 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 4","True","","","","","","Leaf 2","True","5","0","0"
"28/06/2015","12:58:42 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 4","True","","","","","","Leaf 3","True","40","0","0"
"28/06/2015","12:58:48 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 4","True","","","","","","Leaf 4","True","20","0","0"
"28/06/2015","12:59:01 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 4","True","","","","","","Leaf 5","True","30","1","0"
"28/06/2015","12:59:05 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 4","True","","","","","","Leaf 6","True","10","0","0"
"28/06/2015","12:59:37 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 5","True","","","","","","Leaf 1","True","3","0","0"
"28/06/2015","12:59:44 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 5","True","","","","","","Leaf 2","True","1","0","0"
"28/06/2015","12:59:57 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 5","True","","","","","","Leaf 3","True","40","0","0"
"28/06/2015","1:00:07 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 5","True","","","","","","Leaf 4","True","20","0","0"
"28/06/2015","1:00:20 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 5","True","","","","","","Leaf 5","True","15","0","0"
"28/06/2015","1:00:39 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 5","True","","","","","","Leaf 6","","3","0","1"
"28/06/2015","1:00:57 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 6","True","","","","","","Leaf 1","","0","0","0"
"28/06/2015","1:01:01 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 6","True","","","","","","Leaf 2","","0","0","0"
"28/06/2015","1:01:16 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 6","True","","","","","","Leaf 3","True","30","0","1"
"28/06/2015","1:01:23 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 6","True","","","","","","Leaf 4","True","20","0","0"
"28/06/2015","1:01:36 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 6","True","","","","","","Leaf 5","True","40","0","0"
"28/06/2015","1:01:41 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 6","True","","","","","","Leaf 6","True","5","0","0"
"28/06/2015","1:02:30 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 7","","True","True","","True","","Leaf 1","True","15","0","0"
"28/06/2015","1:02:37 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 7","","True","True","","True","","Leaf 2","True","5","0","0"
"28/06/2015","1:02:46 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 7","","True","True","","True","","Leaf 3","True","10","0","0"
"28/06/2015","1:02:58 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 7","","True","True","","True","","Leaf 4","True","25","0","0"
"28/06/2015","1:03:09 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 7","","True","True","","True","","Leaf 5","True","20","0","0"
"28/06/2015","1:03:24 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 7","","True","True","","True","","Leaf 6","True","5","0","1"
"28/06/2015","1:03:38 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 8","","True","","","","","Leaf 1","True","50","0","0"
"28/06/2015","1:03:42 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 8","","True","","","","","Leaf 2","True","10","0","0"
"28/06/2015","1:03:51 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 8","","True","","","","","Leaf 3","","0","0","0"
"28/06/2015","1:03:55 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 8","","True","","","","","Leaf 4","","0","0","0"
"28/06/2015","1:04:06 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 8","","True","","","","","Leaf 5","","5","0","1"
"28/06/2015","1:04:14 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 8","","True","","","","","Leaf 6","True","5","0","0"
"28/06/2015","1:10:44 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 1","True","","True","","","","Leaf 1","True","20","0","0"
